0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
7.0,8.0,7.0,11.0,2.0,1.0,3.0,1.0,2.0,3.0,0.1511879049676026,1.4,4.36,9.26,1.0
4.0,14.0,17.0,9.0,0.0,0.0,6.0,4.0,1.0,1.0,1.9064039408866997,3.87,3.32,2.03,0.0
12.0,9.0,15.0,11.0,3.0,1.0,2.0,2.0,4.0,0.0,0.41666666666666663,1.8,3.74,4.32,1.0
15.0,8.0,2.0,7.0,3.0,1.0,2.0,1.0,2.0,3.0,0.11449016100178891,1.28,5.51,11.18,0.0
16.0,8.0,2.0,3.0,4.0,2.0,0.0,2.0,1.0,3.0,0.18691588785046728,1.4,4.76,7.49,1.0
8.0,8.0,11.0,4.0,2.0,2.0,2.0,5.0,0.0,1.0,0.28795811518324604,1.65,3.67,5.73,1.0
1.0,8.0,8.0,7.0,0.0,1.0,5.0,2.0,3.0,1.0,3.2710843373493974,5.43,3.78,1.66,1.0
8.0,9.0,14.0,4.0,1.0,4.0,1.0,4.0,2.0,0.0,4.258064516129032,6.6,3.89,1.55,-1.0
10.0,13.0,9.0,6.0,2.0,0.0,4.0,3.0,2.0,1.0,1.3842794759825328,3.17,3.32,2.29,-1.0
9.0,8.0,11.0,7.0,3.0,1.0,2.0,4.0,0.0,2.0,4.112582781456954,6.21,4.4,1.51,1.0
7.0,13.0,11.0,9.0,3.0,0.0,3.0,2.0,2.0,2.0,0.8085808580858087,2.45,3.22,3.03,1.0
5.0,9.0,7.0,7.0,0.0,3.0,3.0,2.0,2.0,2.0,0.9335664335664335,2.67,3.02,2.86,-1.0
10.0,7.0,12.0,14.0,3.0,1.0,2.0,1.0,2.0,3.0,0.11261261261261261,1.25,6.13,11.1,1.0
14.0,8.0,10.0,4.0,3.0,2.0,1.0,3.0,3.0,0.0,0.6524390243902439,2.14,3.55,3.28,-1.0
9.0,3.0,5.0,11.0,2.0,3.0,1.0,2.0,1.0,3.0,0.08527131782945736,1.21,6.53,14.19,1.0
12.0,9.0,14.0,7.0,2.0,2.0,2.0,4.0,1.0,1.0,0.8344827586206897,2.42,3.41,2.9,1.0
6.0,8.0,4.0,9.0,2.0,2.0,2.0,1.0,1.0,4.0,0.08545197740112993,1.21,6.38,14.16,1.0
9.0,10.0,7.0,7.0,1.0,2.0,3.0,2.0,2.0,2.0,0.8175895765472312,2.51,3.05,3.07,0.0
8.0,8.0,9.0,2.0,1.0,4.0,1.0,4.0,2.0,0.0,3.0432098765432096,4.93,4.32,1.62,0.0
5.0,11.0,13.0,4.0,2.0,0.0,4.0,6.0,0.0,0.0,15.275862068965518,17.72,7.71,1.16,-1.0
9.0,9.0,6.0,6.0,3.0,0.0,3.0,2.0,1.0,3.0,1.3656387665198237,3.1,3.45,2.27,-1.0
10.0,13.0,9.0,13.0,1.0,1.0,4.0,1.0,0.0,5.0,0.5025641025641026,1.96,3.46,3.9,1.0
11.0,7.0,9.0,8.0,4.0,2.0,0.0,2.0,2.0,2.0,0.40043763676148797,1.83,3.51,4.57,1.0
