homeTeam,awayTeam,league,result,odds,date
Bologna,Cagliari,Serie A,2:0,"['1.67', '3.89', '5.01']",2021-11-01
Sassuolo,Empoli,Serie A,1:2,"['1.70', '4.19', '4.37']",2021-10-31
AS Roma,AC Milan,Serie A,1:2,"['2.28', '3.46', '3.03']",2021-10-31
Fiorentina,Spezia,Serie A,3:0,"['1.63', '4.09', '5.06']",2021-10-31
Genoa,Venezia,Serie A,0:0,"['1.98', '3.48', '3.83']",2021-10-31
Inter,Udinese,Serie A,2:0,"['1.34', '5.11', '8.83']",2021-10-31
Salernitana,Napoli,Serie A,0:1,"['9.70', '5.45', '1.30']",2021-10-31
Verona,Juventus,Serie A,2:1,"['4.38', '3.56', '1.83']",2021-10-30
Atalanta,Lazio,Serie A,2:2,"['2.00', '3.78', '3.44']",2021-10-30
Torino,Sampdoria,Serie A,3:0,"['1.81', '3.60', '4.48']",2021-10-30
Napoli,Bologna,Serie A,3:0,"['1.24', '6.24', '11.69']",2021-10-28
Sampdoria,Atalanta,Serie A,1:3,"['4.15', '3.87', '1.80']",2021-10-27
Udinese,Verona,Serie A,1:1,"['2.38', '3.11', '3.17']",2021-10-27
Cagliari,AS Roma,Serie A,1:2,"['6.34', '4.55', '1.47']",2021-10-27
Lazio,Fiorentina,Serie A,1:0,"['1.82', '3.71', '4.25']",2021-10-27
Juventus,Sassuolo,Serie A,1:2,"['1.42', '4.87', '6.92']",2021-10-27
Empoli,Inter,Serie A,0:2,"['6.72', '4.92', '1.42']",2021-10-27
AC Milan,Torino,Serie A,1:0,"['1.65', '3.83', '5.41']",2021-10-26
Venezia,Salernitana,Serie A,1:2,"['1.96', '3.41', '3.97']",2021-10-26
Spezia,Genoa,Serie A,1:1,"['2.24', '3.52', '3.10']",2021-10-26
AS Roma,Napoli,Serie A,0:0,"['2.88', '3.43', '2.41']",2021-10-24
Atalanta,Udinese,Serie A,1:1,"['1.38', '5.09', '7.56']",2021-10-24
Fiorentina,Cagliari,Serie A,3:0,"['1.56', '4.13', '5.80']",2021-10-24
Inter,Juventus,Serie A,1:1,"['2.06', '3.52', '3.53']",2021-10-24
Verona,Lazio,Serie A,4:1,"['2.93', '3.37', '2.40']",2021-10-24
Sassuolo,Venezia,Serie A,3:1,"['1.60', '4.05', '5.46']",2021-10-23
Salernitana,Empoli,Serie A,2:4,"['3.02', '3.40', '2.33']",2021-10-23
Bologna,AC Milan,Serie A,2:4,"['3.40', '3.41', '2.14']",2021-10-23
Sampdoria,Spezia,Serie A,2:1,"['1.75', '3.91', '4.46']",2021-10-22
Torino,Genoa,Serie A,3:2,"['1.72', '3.73', '4.89']",2021-10-22
Venezia,Fiorentina,Serie A,1:0,"['4.00', '3.44', '1.95']",2021-10-18
Cagliari,Sampdoria,Serie A,3:1,"['2.45', '3.26', '2.93']",2021-10-17
Empoli,Atalanta,Serie A,1:4,"['5.02', '4.16', '1.62']",2021-10-17
Genoa,Sassuolo,Serie A,2:2,"['2.94', '3.43', '2.37']",2021-10-17
Juventus,AS Roma,Serie A,1:0,"['1.89', '3.59', '4.04']",2021-10-17
Napoli,Torino,Serie A,1:0,"['1.36', '5.06', '8.44']",2021-10-17
Udinese,Bologna,Serie A,1:1,"['2.17', '3.32', '3.42']",2021-10-17
AC Milan,Verona,Serie A,3:2,"['1.56', '4.19', '5.74']",2021-10-16
Lazio,Inter,Serie A,3:1,"['3.15', '3.35', '2.27']",2021-10-16
Spezia,Salernitana,Serie A,2:1,"['2.07', '3.31', '3.68']",2021-10-16
Sampdoria,Udinese,Serie A,3:3,"['2.17', '3.25', '3.51']",2021-10-03
Verona,Spezia,Serie A,4:0,"['1.56', '4.27', '5.62']",2021-10-03
Atalanta,AC Milan,Serie A,2:3,"['2.13', '3.51', '3.33']",2021-10-03
Fiorentina,Napoli,Serie A,1:2,"['3.73', '3.58', '1.98']",2021-10-03
Bologna,Lazio,Serie A,3:0,"['3.10', '3.37', '2.31']",2021-10-03
AS Roma,Empoli,Serie A,2:0,"['1.37', '5.37', '7.30']",2021-10-03
Salernitana,Genoa,Serie A,1:0,"['2.74', '3.13', '2.72']",2021-10-02
Sassuolo,Inter,Serie A,1:2,"['4.80', '4.34', '1.63']",2021-10-02
Torino,Juventus,Serie A,0:1,"['4.31', '3.31', '1.93']",2021-10-02
Cagliari,Venezia,Serie A,1:1,"['1.80', '3.61', '4.55']",2021-10-01
Venezia,Torino,Serie A,1:1,"['3.52', '3.25', '2.17']",2021-09-27
Empoli,Bologna,Serie A,4:2,"['2.69', '3.50', '2.53']",2021-09-26
Juventus,Sampdoria,Serie A,3:2,"['1.34', '5.30', '8.35']",2021-09-26
Lazio,AS Roma,Serie A,3:2,"['2.42', '3.41', '2.90']",2021-09-26
Napoli,Cagliari,Serie A,2:0,"['1.22', '6.60', '12.15']",2021-09-26
Sassuolo,Salernitana,Serie A,1:0,"['1.37', '4.99', '8.24']",2021-09-26
Udinese,Fiorentina,Serie A,0:1,"['3.02', '3.18', '2.46']",2021-09-26
Spezia,AC Milan,Serie A,1:2,"['5.79', '4.17', '1.56']",2021-09-25
Inter,Atalanta,Serie A,2:2,"['1.90', '3.72', '3.88']",2021-09-25
Genoa,Verona,Serie A,3:3,"['2.64', '3.19', '2.77']",2021-09-25
AS Roma,Udinese,Serie A,1:0,"['1.45', '4.62', '6.73']",2021-09-23
Torino,Lazio,Serie A,1:1,"['3.07', '3.32', '2.35']",2021-09-23
Sampdoria,Napoli,Serie A,0:4,"['4.58', '3.85', '1.74']",2021-09-23
AC Milan,Venezia,Serie A,2:0,"['1.26', '5.93', '11.35']",2021-09-22
Cagliari,Empoli,Serie A,0:2,"['2.00', '3.70', '3.54']",2021-09-22
Salernitana,Verona,Serie A,2:2,"['3.81', '3.22', '2.09']",2021-09-22
Spezia,Juventus,Serie A,2:3,"['7.93', '5.07', '1.37']",2021-09-22
Atalanta,Sassuolo,Serie A,2:1,"['1.49', '4.57', '6.05']",2021-09-21
Bologna,Genoa,Serie A,2:2,"['1.82', '3.56', '4.47']",2021-09-21
Fiorentina,Inter,Serie A,1:3,"['4.23', '3.76', '1.81']",2021-09-21
Udinese,Napoli,Serie A,0:4,"['4.38', '3.50', '1.85']",2021-09-20
Venezia,Spezia,Serie A,1:2,"['2.32', '3.24', '3.18']",2021-09-19
Verona,AS Roma,Serie A,3:2,"['3.31', '3.50', '2.15']",2021-09-19
Lazio,Cagliari,Serie A,2:2,"['1.45', '4.63', '6.86']",2021-09-19
Juventus,AC Milan,Serie A,1:1,"['1.92', '3.63', '3.89']",2021-09-19
Empoli,Sampdoria,Serie A,0:3,"['2.63', '3.39', '2.65']",2021-09-19
Genoa,Fiorentina,Serie A,1:2,"['3.36', '3.32', '2.20']",2021-09-18
Inter,Bologna,Serie A,6:1,"['1.35', '5.24', '8.25']",2021-09-18
Salernitana,Atalanta,Serie A,0:1,"['11.31', '5.77', '1.27']",2021-09-18
Sassuolo,Torino,Serie A,0:1,"['1.76', '3.93', '4.30']",2021-09-17
Bologna,Verona,Serie A,1:0,"['2.18', '3.51', '3.23']",2021-09-13
Spezia,Udinese,Serie A,0:1,"['3.37', '3.44', '2.15']",2021-09-12
Torino,Salernitana,Serie A,4:0,"['1.69', '3.75', '5.15']",2021-09-12
Cagliari,Genoa,Serie A,2:3,"['2.05', '3.41', '3.67']",2021-09-12
Sampdoria,Inter,Serie A,2:2,"['5.22', '4.06', '1.62']",2021-09-12
AC Milan,Lazio,Serie A,2:0,"['2.28', '3.39', '3.12']",2021-09-12
AS Roma,Sassuolo,Serie A,2:1,"['1.60', '4.39', '5.04']",2021-09-12
Atalanta,Fiorentina,Serie A,1:2,"['1.60', '4.08', '5.43']",2021-09-11
Empoli,Venezia,Serie A,1:2,"['1.68', '4.01', '4.76']",2021-09-11
Napoli,Juventus,Serie A,2:1,"['2.14', '3.43', '3.41']",2021-09-11
Sassuolo,Sampdoria,Serie A,0:0,"['2.09', '3.56', '3.41']",2021-08-29
AC Milan,Cagliari,Serie A,4:1,"['1.48', '4.46', '6.69']",2021-08-29
Salernitana,AS Roma,Serie A,0:4,"['7.10', '4.37', '1.47']",2021-08-29
Genoa,Napoli,Serie A,1:2,"['5.72', '3.95', '1.61']",2021-08-29
Atalanta,Bologna,Serie A,0:0,"['1.29', '5.90', '9.24']",2021-08-28
Fiorentina,Torino,Serie A,2:1,"['1.89', '3.71', '3.93']",2021-08-28
Lazio,Spezia,Serie A,6:1,"['1.30', '5.61', '9.51']",2021-08-28
Juventus,Empoli,Serie A,0:1,"['1.23', '6.52', '11.76']",2021-08-28
Udinese,Venezia,Serie A,3:0,"['1.77', '3.51', '4.95']",2021-08-27
Verona,Inter,Serie A,1:3,"['5.51', '4.18', '1.59']",2021-08-27
Cagliari,Spezia,Serie A,2:2,"['1.81', '3.57', '4.53']",2021-08-23
Sampdoria,AC Milan,Serie A,0:1,"['3.57', '3.40', '2.09']",2021-08-23
AS Roma,Fiorentina,Serie A,3:1,"['1.63', '4.15', '5.07']",2021-08-22
Bologna,Salernitana,Serie A,3:2,"['1.52', '4.36', '5.98']",2021-08-22
Napoli,Venezia,Serie A,2:0,"['1.21', '6.71', '12.96']",2021-08-22
Udinese,Juventus,Serie A,2:2,"['6.73', '4.01', '1.53']",2021-08-22
Inter,Genoa,Serie A,4:0,"['1.28', '5.50', '10.71']",2021-08-21
Torino,Atalanta,Serie A,1:2,"['6.09', '4.43', '1.51']",2021-08-21
Empoli,Lazio,Serie A,1:3,"['4.01', '3.73', '1.87']",2021-08-21
Verona,Sassuolo,Serie A,2:3,"['2.55', '3.39', '2.74']",2021-08-21
Bologna,Juventus,Serie A,1:4,"['10.87', '6.26', '1.25']",2021-05-23
Atalanta,AC Milan,Serie A,0:2,"['2.33', '3.89', '2.72']",2021-05-23
Napoli,Verona,Serie A,1:1,"['1.25', '6.56', '10.10']",2021-05-23
Sassuolo,Lazio,Serie A,2:0,"['1.72', '4.41', '4.08']",2021-05-23
Spezia,AS Roma,Serie A,2:2,"['4.88', '4.57', '1.59']",2021-05-23
Torino,Benevento,Serie A,1:1,"['1.62', '4.37', '4.88']",2021-05-23
