homeTeam,awayTeam,league,result,odds,date
West Ham,Norwich,Premier League,2:0,"['1.40', '4.93', '7.92']",2022-01-12
Southampton,Brentford,Premier League,4:1,"['2.17', '3.30', '3.55']",2022-01-11
Manchester Utd,Wolves,Premier League,0:1,"['1.68', '3.74', '5.56']",2022-01-03
Brentford,Aston Villa,Premier League,2:1,"['2.86', '3.22', '2.59']",2022-01-02
Chelsea,Liverpool,Premier League,2:2,"['2.59', '3.48', '2.68']",2022-01-02
Leeds,Burnley,Premier League,3:1,"['2.04', '3.57', '3.63']",2022-01-02
Everton,Brighton,Premier League,2:3,"['2.86', '3.10', '2.68']",2022-01-02
Arsenal,Manchester City,Premier League,1:2,"['5.15', '4.17', '1.64']",2022-01-01
Crystal Palace,West Ham,Premier League,2:3,"['3.41', '3.32', '2.21']",2022-01-01
Watford,Tottenham,Premier League,0:1,"['5.66', '4.09', '1.60']",2022-01-01
Manchester Utd,Burnley,Premier League,3:1,"['1.37', '4.99', '8.88']",2021-12-30
Brentford,Manchester City,Premier League,0:1,"['16.02', '8.24', '1.16']",2021-12-29
Chelsea,Brighton,Premier League,1:1,"['1.34', '4.94', '10.23']",2021-12-29
Southampton,Tottenham,Premier League,1:1,"['3.70', '3.40', '2.08']",2021-12-28
Watford,West Ham,Premier League,1:4,"['3.53', '3.68', '2.04']",2021-12-28
Leicester,Liverpool,Premier League,1:0,"['8.65', '6.12', '1.31']",2021-12-28
Crystal Palace,Norwich,Premier League,3:0,"['1.74', '3.54', '5.29']",2021-12-28
Newcastle,Manchester Utd,Premier League,1:1,"['6.39', '4.63', '1.49']",2021-12-27
Aston Villa,Chelsea,Premier League,1:3,"['5.15', '3.75', '1.71']",2021-12-26
Brighton,Brentford,Premier League,2:0,"['1.94', '3.39', '4.26']",2021-12-26
Manchester City,Leicester,Premier League,6:3,"['1.13', '9.87', '18.01']",2021-12-26
Norwich,Arsenal,Premier League,0:5,"['6.39', '4.44', '1.51']",2021-12-26
Tottenham,Crystal Palace,Premier League,3:0,"['1.71', '3.80', '5.09']",2021-12-26
West Ham,Southampton,Premier League,2:3,"['1.95', '3.64', '3.90']",2021-12-26
Wolves,Chelsea,Premier League,0:0,"['5.37', '3.41', '1.77']",2021-12-19
Tottenham,Liverpool,Premier League,2:2,"['4.82', '4.12', '1.68']",2021-12-19
Newcastle,Manchester City,Premier League,0:4,"['20.47', '9.35', '1.13']",2021-12-19
Leeds,Arsenal,Premier League,1:4,"['5.76', '4.29', '1.57']",2021-12-18
Chelsea,Everton,Premier League,1:1,"['1.20', '6.78', '16.42']",2021-12-16
Liverpool,Newcastle,Premier League,3:1,"['1.11', '10.61', '24.47']",2021-12-16
